N,Byte Sieve Time (ms),Bit Sieve Time (ms)
4,1554.74,0.15
8,0.14,0.14
16,0.15,0.13
32,0.14,0.14
64,0.14,0.13
128,0.14,0.14
256,0.14,0.16
512,0.18,0.19
1024,0.18,0.20
2048,0.19,0.28
4096,0.22,0.38
8192,0.20,0.56
16384,0.16,0.92
32768,0.15,1.71
65536,0.15,3.27
131072,0.16,6.49
262144,0.25,12.74
524288,0.23,12.75
1048576,0.29,12.73
2097152,0.39,12.76
4194304,0.69,12.80
8388608,1.16,12.90
16777216,2.18,21.79
33554432,3.31,30.32
67108864,6.61,50.17
134217728,13.14,89.89
268435456,25.72,172.16
536870912,53.14,332.82
1073741824,109.21,656.39
2147483648,231.15,1306.81
4294967296,505.08,2644.45
8589934592,1435.05,5359.37
17179869184,3898.59,10943.43
34359738368,10588.99,22526.43
68719476736,28935.62,46421.92
